번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
900,주니퍼 2열 승차감 어떤가요?,미니심슨I대구,2026.01.26. 19:36,조회 293,panmankim,신입
901,BMW IX 승차감이 i7 과 비슷한급 인가요?,아하I없음I대전,2026.01.26. 19:36,조회 212,thepkh0,신입
902,보조금 서류제출,전기차가즈아I거제,2026.01.26. 19:35,조회 210,rkdalsrl0750,준회원
903,보험사에서 경매가액+수리비가 차량가액을 넘어서도 전손처리가 안된다고 손해사정인이 말하는데 궁금합니다,사월Iix50l송도,2026.01.26. 19:33,조회 129,chohyun3500,준회원
904,재고차 잡을시 차량가격,진황제I충남,2026.01.26. 19:27,조회 366,gbajs59,준회원
905,[아이오닉9 2026 올해의 차 수상 축하] 패밀리카의 또 다른 대안,늉늉I경기,2026.01.26. 19:27,조회 58,6612krs,준회원
906,GV70 EV 타시는분들 장단점은 무엇인가요?,아하I없음I대전,2026.01.26. 19:24,조회 199,thepkh0,신입
907,마칸은 귀여워요 ㅎㅎ,아하I없음I대전,2026.01.26. 19:23,조회 141,thepkh0,신입
908,ev4 딜러 서비스요,드림카쇼크ll인천,2026.01.26. 19:21,조회 262,yoonvly8115,신입
909,타이칸 페리가 눈물이 없어져서 전작보다 이쁘긴하네요,아하I없음I대전,2026.01.26. 19:21,조회 168,thepkh0,신입
910,자녀 혜택 문의,하얀늑대I대구,2026.01.26. 19:20,조회 108,prettysd,신입
911,파워큐브 경부하 설정 어케하는건가요?,플러스ll대전,2026.01.26. 19:16,조회 118,cdy0425,준회원
912,EV5 견적 받으신 분들 딜러 지원 얼마나 받으세요?,야래l니로evI평택,2026.01.26. 19:11,조회 412,ariellove83,준회원
913,현대는 차량할인 없이 저금리 프로모션으로 끝인가요?!?,늉늉I경기,2026.01.26. 19:07,조회 345,6612krs,준회원
914,보조금이 언제까지 나올까여?,파파IEV9I경기,2026.01.26. 19:00,조회 161,sinbiehs,준회원
915,요즘 전기차 중고도 가격괜찮나요??,전기차로 바꿀예정,2026.01.26. 18:59,조회 133,cksdms977,준회원
916,빌라촌 전기 차 충전 할 때 질문드려요,론Iev4I경기시흥,2026.01.26. 18:57,조회 79,aza119720,신입
917,ev5 에어롱 견적문의,삐까츄라이츄ㅣ전북,2026.01.26. 18:55,조회 201,cltjd9680,신입
918,울산 보조금은 진짜 ㅋㅋㅋ 안그래도 작은데 100만원 넘게 줄었네요,침차기Iev9I울산,2026.01.26. 18:47,조회 256,dn236236,준회원
919,PV5 워크스루라는 모델도 나오네요,국제결혼도전II광주,2026.01.26. 18:46,조회 125,outspoken6,신입
920,지원금 받기위해 지역 바꾸는건 힘든가요?,놈구,2026.01.26. 18:46,조회 261,jmj1825,준회원
921,헤이딜러 제로로 차량을 판매하면 보통 몇일정도 걸릴까요?,준장인I미정I화성,2026.01.26. 18:18,조회 355,sincf2003,준회원
922,중고차로 팔때 보조금?,조피볼락Iq6I서울,2026.01.26. 18:12,조회 143,swj8800,신입
923,양평군 보조금은 처음 소문난거보다 떨어졌네요,키도리m양평,2026.01.26. 18:10,조회 125,love772kim,준회원
924,끼어들기 접촉사고 몇대몇 보시나요?,별명이없음IGV60I울산,2026.01.26. 18:10,조회 172,honeyhiya,준회원
925,오늘 아6 시승하고 왔습니다 ^^,아오I오닉6I이천,2026.01.26. 18:02,조회 209,mell0014,신입
926,보조금이 깡패긴하네요,구름li5l전남,2026.01.26. 17:57,"조회 2,473",bawz,신입
927,오늘 폴스타4 시승하고 왔네요.,국랑스스I성남,2026.01.26. 17:55,조회 271,hhssyy444,신입
928,지나가다 찍은 아6N,통신가게I경기,2026.01.26. 17:53,조회 266,pyk0582,신입
929,충전량,사탕I세닉I대구,2026.01.26. 17:53,조회 19,mansc64,준회원
930,"케니 스텝님, LED 렌턴 나눔 감사합니다~^^",어른왕자l아5Nl강원,2026.01.26. 17:52,조회 16,pooh_2500,준회원
931,"[아이오닉9 2026 올해의 차 수상 축하] 전동화 시대, 가장 완성도 높은 해답",허영이IeG80I용인,2026.01.26. 17:52,조회 57,lv60,준회원
932,화성시 언제쯤 올라오나요..,이브이아홉마리I화성,2026.01.26. 17:47,조회 139,kangjae07,신입
933,전기차 바꿔야 할지 고민중입니다.,아지I이트론I군포,2026.01.26. 17:46,조회 119,khy9134,준회원
934,아파트내 전기충전시설이 부족할때...,훅기사l대구,2026.01.26. 17:45,조회 204,hey25s,준회원
935,전기차세차....,사탕I세닉I대구,2026.01.26. 17:44,조회 240,mansc64,준회원
936,"기아 할인 된다는건 대체 어디서 정보를 얻어야 할까요?(서울, EV5, EV3, 유예할부 등)",수수킴ll서울,2026.01.26. 17:34,조회 898,go1_kim,준회원
