번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
0,누가 이상한걸까요?,조약돌IEV6I익산,2026.01.28. 16:50,조회 7,htl0617,우수회원
1,Ev3 저금리 이벤트 1월까지 출고해야하나요?,덕선이,2026.01.28. 16:49,조회 9,bomb_b,신입
2,테슬라ㅎㅎ 홍보 불붙었네요.,막투웬II충북,2026.01.28. 16:49,조회 56,dbtjs25,준회원
3,정신이상자가 차를 운전하나뵌요,조약돌IEV6I익산,2026.01.28. 16:49,조회 35,htl0617,우수회원
4,내차는 언제쯤..,전기찌릿I강원,2026.01.28. 16:48,조회 16,tlswldms_123,신입
5,Ev3 수도권 카마스터 소개부탁드려요,먼데이l볼트조에l서울,2026.01.28. 16:46,조회 4,angelyo2,준회원
6,대전 보조금 신청,잠만보l대전,2026.01.28. 16:42,조회 34,minseokim060120,준회원
7,"보조금 서류떼다가.,,현타",막투웬II충북,2026.01.28. 16:41,조회 142,dbtjs25,준회원
8,서울시 보조금,푸푸맘Iev6I서울,2026.01.28. 16:41,조회 10,jmki9,신입
9,"재고차, 전시차 괜찮았으면 좋겠네요",비누I경남,2026.01.28. 16:32,조회 152,yubin6800,신입
10,새차 용품 질문,최가Iev4I경기,2026.01.28. 16:27,조회 23,chldndud330,준회원
11,ev4 vs ev5,김포대교l전주,2026.01.28. 16:24,조회 94,wnddkd161200,준회원
12,정보들 감사해요,오이잉I대전,2026.01.28. 16:22,조회 29,hyehwa0056,신입
13,지금이 딱 시즌인가 보군요...,구름빵5I인천,2026.01.28. 16:21,조회 90,billis,준회원
14,전체 PPF하신분들 세차 어떻게 하시나요??,카가34I모델YI서울,2026.01.28. 16:21,조회 51,kaga34,신입
15,토스 이벤트 같이해요~ 허니콤보,홍l아이오닉6l전남,2026.01.28. 16:20,조회 46,exesa123,준회원
16,충남은 공고가 느리네요.,펑키비트,2026.01.28. 16:19,조회 44,netboy77,신입
17,"드디어, 내일부터 시작이네요 [인천,보조금]",르하ll인천,2026.01.28. 16:17,조회 63,whdrjs39,준회원
18,현재 청송 얼음골,별IEV3I서울,2026.01.28. 16:13,조회 107,,준회원
19,재규어 I-FACE 오너분들 계신가요?,던이li4m50l인천,2026.01.28. 16:10,조회 18,subaraki1,준회원
20,안녕하세요 초보적인 질문좀 해도 될까요?,튼튼I용인,2026.01.28. 16:09,조회 33,stingguy,신입
21,서울시 전기차 보조금,루미아빠II서울,2026.01.28. 16:08,조회 157,hwoo2005,신입
22,재고차 확보 어렵나봅니다 ㅎ....,우쭈쭈새우II부산,2026.01.28. 16:05,조회 293,rhaehfl_,준회원
23,서울시 예상일 받으신분????,루미아빠II서울,2026.01.28. 16:04,조회 68,hwoo2005,신입
24,gv60 실운전자분들께 여쭙습니다.,알레I코나I대구,2026.01.28. 16:03,조회 64,ldj0049,신입
25,고양시 지자체보조금 일정,헬프리I고양,2026.01.28. 16:02,조회 61,rnsdls1203,준회원
26,현대가 작년에 1.8프로 유예할부하던걸 2.8프로로하네요,한국야오밍,2026.01.28. 16:01,조회 164,gaonmanage22,신입
27,"ev5, id4, 세닉 사이에서",알렉ㅣ미보유 I 성남,2026.01.28. 15:56,조회 79,jjw0618,신입
