번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
800,아이오닉9 패달부분 전선 보이는게 맞나요?,세종반곡무,2026.01.26. 23:19,조회 180,dearyou4,신입
801,두번째 전기차 출고했습니다,아이체크lPV5l경기,2026.01.26. 23:04,조회 99,kdw3381287,신입
802,EV3 보험료와 자동차세,우디루,2026.01.26. 23:02,조회 178,happyengel05,준회원
803,야맹증 틴팅...,그레이트훗 I 서울,2026.01.26. 23:01,조회 87,hsskee,준회원
804,오늘 ev5와 아이오닉5 대전에서 시승했고 푸조가서 5008 신형 보고왔는데요 아이오닉전비 2.8??? 이게 원래 이런가요,웅진동I충남,2026.01.26. 23:01,조회 190,sandongne,준회원
805,보통 차량관리는??,샘 I EV4 I 청주,2026.01.26. 23:00,조회 57,dndbqlcrkfdltkdals12,신입
806,빨리 출고해서 여행가보고싶네요.,훛츄I화성,2026.01.26. 23:00,조회 45,ddonghee45,준회원
807,세닉 vs ev5 vs 아이오닉5,웅진동I충남,2026.01.26. 22:58,조회 243,sandongne,준회원
808,전기차 주차,우디루,2026.01.26. 22:57,조회 55,happyengel05,준회원
809,아이오닉6 시승 후 계약은 했지만...,인천I초뭉,2026.01.26. 22:57,조회 357,trees81,신입
810,G80 전기차로 기변하려합니다.,구름llBMWi5M60ll구미,2026.01.26. 22:55,조회 52,jip7515,준회원
811,EV3 / EV6 고민중,버럭쟁이 EV6I부산,2026.01.26. 22:54,조회 269,fe9870,신입
812,EV5 견인장치 설치,그레이트훗 I 서울,2026.01.26. 22:54,조회 36,hsskee,준회원
813,첫 전기차 고민,훛츄I화성,2026.01.26. 22:53,조회 50,ddonghee45,준회원
814,EQA 괜찮나요?,라이너I전남,2026.01.26. 22:49,조회 89,ohjang86,신입
815,생각할수록 더 빨리 사지않은게 후회되네요,윤은준아빠I예정I서울,2026.01.26. 22:44,조회 318,huge79,신입
816,청주 보조금 관련,샘 I EV4 I 청주,2026.01.26. 22:43,조회 244,dndbqlcrkfdltkdals12,신입
