번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
1500,경부하 충전,청개구리I세닉I전남,2026.01.25. 12:06,조회 127,ang2580,준회원
1501,EV3 수리후기,짱가Iev3I동탄,2026.01.25. 12:00,조회 383,impulse80,준회원
1502,현대에서는 전기차가격인하 계획이 없는건가요?,절대강자I경남,2026.01.25. 11:51,"조회 2,043",imzeus,준회원
1503,전기차 인하 소식 반갑네요,하투빠IEV3I제주,2026.01.25. 11:49,조회 207,dionyjpyo,준회원
1504,아이오닉9의 디사미에 관해서 질문드립니다.,절대강자I경남,2026.01.25. 11:48,조회 126,,준회원
1505,현기 모니터링 분들 보세요!,마크6I아이오닉6I서울,2026.01.25. 11:47,조회 309,hanbok6,준회원
1506,아이오닉 9 의 스위블링시트가 어떤지?,절대강자I경남,2026.01.25. 11:44,조회 141,imzeus,준회원
1507,검정색 차량 관리 힘든가요? 노터치 세차?,바나나스I모델XI용인,2026.01.25. 11:39,조회 215,coun1000,준회원
1508,파워뱅크 필수 인가요?,바나나스I모델XI용인,2026.01.25. 11:36,조회 117,coun1000,준회원
1509,주변에서 PPF 무조건 필수라고 하는데요..,바나나스I모델XI용인,2026.01.25. 11:34,"조회 1,954",coun1000,준회원
1510,테슬라 화이팅합니다,갈길가자IEV6I경북,2026.01.25. 11:32,조회 62,somaworl,준회원
1511,기아 EV5 vs 테슬라 주니퍼,파인드Ii5I서울,2026.01.25. 11:32,"조회 6,769",ffminjong,준회원
1512,김포에 테라룩스 선팅 가능업체,둥이아빠I테슬라I김포,2026.01.25. 11:31,조회 20,wjsdbtjr77,준회원
1513,차박할때 가습기!,바나나스I모델XI용인,2026.01.25. 11:31,조회 75,coun1000,준회원
1514,2026년 테슬라 차값이 싸긴 싸네요.,황제I테슬라YI세종,2026.01.25. 11:30,조회 337,jojinhyung88,준회원
1515,ev5 재고차량 괜찮나요??,shulen03,2026.01.25. 11:24,조회 584,shulen03,신입
1516,아파트가 미쳤어요. 완속충전기가 총 53개가 생겼어요,누누디lNIROl경기,2026.01.25. 11:19,"조회 3,200",dualxg,준회원
1517,환경부 카드 가족명의 가능한가요?,땅콩잉lev3l강원,2026.01.25. 11:19,조회 128,yuna5643,준회원
1518,EV4 구매할 때 딜러의 역량 차이가 큰가요? (딜러 추천 제발용),Sunnya,2026.01.25. 11:12,조회 312,ccc78910,신입
1519,Ev3 딜러분,또리또리또리다,2026.01.25. 11:11,조회 53,jbchsk,신입
1520,"현대차그룹, '아틀라스' 양산 돌입…원가 경쟁력 확보 사활",해I모y아5I서울,2026.01.25. 11:10,조회 277,hwajakim2,준회원
1521,요즘 집밥없으면힘들까요,지뉴I테슬라I대전,2026.01.25. 11:09,조회 104,tnsdldk,신입
1522,충전비가 점점 오르네요,감자I수원,2026.01.25. 11:07,조회 84,tkfbr,준회원
